MSSubClass,LotArea,Neighborhood,BldgType,FirstFlrSF,SecondFlrSF,GrLivArea,TotRmsAbvGrd,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch
One_Story_PUD_1946_and_Newer,3182,Bloomington_Heights,TwnhsE,1269,0,1269,6,146,20,0,0,144
Split_or_Multilevel,13300,Gilbert,OneFam,744,630,1374,7,100,0,0,0,0
Two_Story_1946_and_Newer,7851,Gilbert,OneFam,860,1100,1960,8,288,48,0,0,0
Two_Story_1946_and_Newer,8577,Gilbert,OneFam,847,886,1733,7,144,48,0,0,0
Split_or_Multilevel,7750,Gilbert,OneFam,774,656,1430,7,180,0,0,0,0
Two_Story_1946_and_Newer,9505,Gilbert,OneFam,884,1151,2035,8,144,48,0,0,0
Two_Story_1946_and_Newer,14774,Northridge,OneFam,1422,1177,2599,10,668,30,0,0,0
Two_Story_1946_and_Newer,17433,Northridge,OneFam,1645,830,2475,7,23,172,0,0,256
One_Story_1946_and_Newer_All_Styles,10593,Northridge,OneFam,1720,0,1720,7,240,56,154,0,0
Two_Story_1946_and_Newer,12256,Northridge,OneFam,1500,1122,2622,9,186,32,0,0,0
Two_Story_1946_and_Newer,11764,Northridge,OneFam,1164,1106,2270,9,132,57,0,0,0
Two_Story_1946_and_Newer,16770,Northridge,OneFam,1195,644,1839,7,0,81,0,0,0
One_and_Half_Story_Finished_All_Ages,14720,Northridge,OneFam,2053,1185,3238,9,283,86,0,0,0
One_Story_1946_and_Newer_All_Styles,8987,Somerset,OneFam,1595,0,1595,6,144,0,0,0,0
One_Story_1946_and_Newer_All_Styles,9215,Somerset,OneFam,1218,0,1218,4,0,136,0,0,0
Two_Story_1946_and_Newer,8640,Somerset,OneFam,764,783,1547,7,169,45,0,0,0
One_Story_1946_and_Newer_All_Styles,9000,Somerset,OneFam,1566,0,1566,7,144,168,0,0,0
Two_Story_1946_and_Newer,12552,Somerset,OneFam,991,956,1947,8,0,136,0,0,0
One_Story_1946_and_Newer_All_Styles,10440,Somerset,OneFam,1468,0,1468,6,0,102,0,0,216
Two_Story_1946_and_Newer,10142,Sawyer_West,OneFam,956,1128,2084,8,0,45,0,0,0
Two_Story_1946_and_Newer,11920,Sawyer_West,OneFam,831,828,1659,8,144,68,0,0,0
Two_Story_1946_and_Newer,8880,Sawyer_West,OneFam,1222,888,2110,8,0,130,0,0,0
One_Story_PUD_1946_and_Newer,8012,Sawyer_West,TwnhsE,923,0,923,5,80,0,0,0,0
Two_Story_1946_and_Newer,11218,Sawyer_West,OneFam,1055,790,1845,8,635,104,0,0,0
One_Story_PUD_1946_and_Newer,7892,Sawyer_West,TwnhsE,918,0,918,5,28,0,0,0,0
One_Story_PUD_1946_and_Newer,7175,Sawyer_West,TwnhsE,752,0,752,4,353,0,0,0,90
Two_Story_1946_and_Newer,9453,Sawyer_West,OneFam,1014,730,1744,7,370,70,0,238,0
One_Story_1946_and_Newer_All_Styles,9672,Sawyer_West,OneFam,1097,0,1097,6,0,0,0,0,0
Two_Story_1946_and_Newer,8400,Sawyer_West,OneFam,888,676,1564,7,0,50,0,0,204
One_Story_1945_and_Older,9800,Sawyer_West,OneFam,1012,0,1012,5,121,0,80,0,0
Duplex_All_Styles_and_Ages,8930,Sawyer,Duplex,1318,584,1902,8,0,0,0,0,0
Split_Foyer,11782,Sawyer,OneFam,1155,0,1155,6,192,0,0,0,0
One_Story_1946_and_Newer_All_Styles,8450,Sawyer,OneFam,894,0,894,5,416,144,0,0,0
One_Story_1946_and_Newer_All_Styles,9819,Sawyer,OneFam,900,0,900,5,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,7500,Sawyer,OneFam,1040,0,1040,5,0,0,220,0,0
One_Story_1946_and_Newer_All_Styles,6897,Sawyer,OneFam,1040,0,1040,6,0,104,0,0,0
One_Story_1946_and_Newer_All_Styles,15410,Sawyer,OneFam,1494,0,1494,7,296,0,186,0,0
Two_Story_1946_and_Newer,10186,Northridge,OneFam,1061,862,1923,8,240,39,0,0,0
Two_Story_1946_and_Newer,13143,Northridge,OneFam,1251,1098,2349,9,32,130,0,0,0
Two_Story_1946_and_Newer,11134,Northridge,OneFam,1402,823,2225,7,198,30,0,0,0
One_Story_PUD_1946_and_Newer,4835,Somerset,TwnhsE,1488,0,1488,6,168,50,0,0,0
Two_Story_PUD_1946_and_Newer,3515,Somerset,TwnhsE,840,840,1680,3,0,111,0,0,0
Two_Story_PUD_1946_and_Newer,3215,Somerset,TwnhsE,600,600,1200,4,0,172,0,0,0
Two_Story_PUD_1946_and_Newer,3182,Somerset,TwnhsE,600,600,1200,4,0,172,0,0,0
Two_Story_PUD_1946_and_Newer,2544,Somerset,Twnhs,600,600,1200,4,0,172,0,0,0
Two_Story_PUD_1946_and_Newer,2544,Somerset,Twnhs,600,636,1236,4,0,166,0,0,0
One_Story_1946_and_Newer_All_Styles,4403,Somerset,OneFam,1478,0,1478,7,0,144,0,0,0
Two_Story_PUD_1946_and_Newer,2117,Somerset,Twnhs,769,804,1573,5,0,32,0,0,0
Two_Story_PUD_1946_and_Newer,2980,Somerset,TwnhsE,756,756,1512,5,0,32,0,0,0
Two_Story_PUD_1946_and_Newer,2572,Somerset,Twnhs,696,720,1416,6,0,44,0,0,0
Two_Story_PUD_1946_and_Newer,2403,Somerset,TwnhsE,530,550,1080,4,0,50,0,0,0
One_Story_1946_and_Newer_All_Styles,12853,Somerset,OneFam,1418,0,1418,6,160,192,0,224,0
Two_Story_1946_and_Newer,7379,Somerset,OneFam,975,873,1848,7,280,184,0,0,0
One_Story_PUD_1946_and_Newer,4420,Greens,TwnhsE,788,0,788,3,133,42,0,0,0
One_Story_PUD_1946_and_Newer,3880,Greens,Twnhs,1226,0,1226,4,223,78,0,0,0
Two_Story_1946_and_Newer,13517,Sawyer,OneFam,725,754,1479,6,0,44,0,0,0
One_Story_1946_and_Newer_All_Styles,8000,Somerset,OneFam,1492,0,1492,6,277,137,0,0,0
One_Story_1946_and_Newer_All_Styles,10456,Northwest_Ames,OneFam,1829,0,1829,8,0,76,0,0,0
Two_Story_1946_and_Newer,10791,Northwest_Ames,OneFam,1280,1215,2495,9,224,32,0,0,0
One_Story_1946_and_Newer_All_Styles,10603,Northwest_Ames,OneFam,1610,0,1610,6,168,68,0,0,0
One_and_Half_Story_Finished_All_Ages,18837,Northwest_Ames,OneFam,1287,604,1891,7,0,69,0,0,0
Two_Story_1946_and_Newer,10421,Northwest_Ames,OneFam,980,734,1714,7,228,66,156,0,0
One_Story_1946_and_Newer_All_Styles,9360,Northwest_Ames,OneFam,1381,0,1381,5,0,0,0,0,0
Two_Story_1946_and_Newer,9600,Northwest_Ames,OneFam,930,715,1645,7,0,78,0,0,0
One_Story_1946_and_Newer_All_Styles,9600,North_Ames,OneFam,1232,0,1232,6,0,224,0,0,0
One_Story_1946_and_Newer_All_Styles,9790,Northwest_Ames,OneFam,1328,0,1328,6,0,26,0,0,0
One_Story_1946_and_Newer_All_Styles,9320,North_Ames,OneFam,1225,0,1225,6,352,0,0,0,0
One_Story_1946_and_Newer_All_Styles,9900,North_Ames,OneFam,1209,0,1209,6,0,0,120,0,0
One_Story_1946_and_Newer_All_Styles,9680,North_Ames,OneFam,1510,0,1510,6,0,40,0,0,204
Split_or_Multilevel,10600,North_Ames,OneFam,1131,644,1775,8,0,172,0,0,0
Split_or_Multilevel,14112,North_Ames,OneFam,1152,0,1152,6,227,0,0,0,0
Split_Foyer,8800,North_Ames,OneFam,1054,0,1054,6,120,0,0,0,0
Duplex_All_Styles_and_Ages,13260,North_Ames,Duplex,1728,0,1728,10,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,9717,North_Ames,OneFam,1078,0,1078,5,366,0,112,0,0
One_and_Half_Story_Finished_All_Ages,9724,North_Ames,OneFam,1929,532,2461,7,0,0,0,0,0
One_and_Half_Story_Finished_All_Ages,17360,North_Ames,OneFam,1019,537,1556,6,0,0,150,0,0
One_Story_1946_and_Newer_All_Styles,7207,Brookside,OneFam,858,0,858,4,117,0,0,0,0
One_Story_1945_and_Older,5350,Brookside,OneFam,1306,0,1306,6,263,0,0,0,0
One_Story_1946_and_Newer_All_Styles,9920,North_Ames,OneFam,1063,0,1063,6,0,0,164,0,0
Split_or_Multilevel,9600,North_Ames,OneFam,1520,0,1520,7,0,0,189,0,0
One_Story_1946_and_Newer_All_Styles,7800,North_Ames,OneFam,1268,0,1268,7,0,98,0,0,0
Split_Foyer,11380,North_Ames,OneFam,1128,0,1128,5,238,0,0,0,0
Duplex_All_Styles_and_Ages,11600,North_Ames,Duplex,1105,1169,2274,12,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,19900,North_Ames,OneFam,2207,0,2207,7,301,0,0,0,0
One_Story_1946_and_Newer_All_Styles,16492,North_Ames,OneFam,1888,0,1888,6,0,0,0,0,0
Duplex_All_Styles_and_Ages,8267,North_Ames,Duplex,1604,0,1604,8,42,0,0,0,0
One_Story_1946_and_Newer_All_Styles,8197,North_Ames,OneFam,1480,0,1480,7,252,73,0,0,0
One_Story_1946_and_Newer_All_Styles,8050,North_Ames,OneFam,1143,0,1143,6,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,10552,North_Ames,OneFam,1700,0,1700,6,0,38,0,0,0
One_Story_1946_and_Newer_All_Styles,8400,North_Ames,OneFam,1314,0,1314,5,250,0,0,0,0
One_Story_1946_and_Newer_All_Styles,8760,North_Ames,OneFam,1194,0,1194,6,0,0,120,0,0
One_Story_1946_and_Newer_All_Styles,12160,North_Ames,OneFam,1188,0,1188,6,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,9300,North_Ames,OneFam,1264,0,1264,6,0,0,0,0,143
One_Story_1946_and_Newer_All_Styles,10725,North_Ames,OneFam,1206,0,1206,6,0,21,0,0,0
One_Story_1946_and_Newer_All_Styles,10032,North_Ames,OneFam,1580,0,1580,6,0,28,0,0,160
One_and_Half_Story_Finished_All_Ages,8382,North_Ames,OneFam,832,505,1337,5,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,10950,North_Ames,OneFam,1064,0,1064,4,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,10895,North_Ames,OneFam,972,0,972,5,0,0,205,0,0
Two_Family_conversion_All_Styles_and_Ages,13587,North_Ames,TwoFmCon,988,0,988,5,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,7922,North_Ames,OneFam,1057,0,1057,5,0,52,0,0,0
One_Story_1945_and_Older,7898,North_Ames,OneFam,985,0,985,4,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,7200,North_Ames,OneFam,827,0,827,5,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,10200,North_Ames,OneFam,1086,0,1086,6,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,5868,North_Ames,OneFam,936,0,936,4,0,0,80,0,160
One_and_Half_Story_Finished_All_Ages,17503,North_Ames,OneFam,912,546,1458,6,192,0,0,0,0
Duplex_All_Styles_and_Ages,6979,Old_Town,Duplex,1056,0,1056,4,264,56,0,0,0
One_Story_1946_and_Newer_All_Styles,9830,North_Ames,OneFam,1287,0,1287,7,364,17,0,0,182
Split_or_Multilevel,11275,North_Ames,OneFam,1898,1080,2978,11,240,0,0,0,0
One_and_Half_Story_Finished_All_Ages,8064,North_Ames,OneFam,816,408,1224,5,414,0,0,0,0
One_Story_1946_and_Newer_All_Styles,7500,North_Ames,OneFam,1246,0,1246,6,218,0,0,0,0
One_and_Half_Story_Finished_All_Ages,8520,North_Ames,OneFam,910,475,1385,6,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,7200,North_Ames,OneFam,900,0,900,5,222,32,0,0,0
One_Story_1946_and_Newer_All_Styles,10000,North_Ames,OneFam,1116,0,1116,5,0,0,0,0,385
One_Story_1946_and_Newer_All_Styles,7635,North_Ames,OneFam,1175,0,1175,6,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,9760,North_Ames,OneFam,1395,0,1395,7,657,0,113,0,240
Two_Story_1946_and_Newer,7700,North_Ames,OneFam,1051,788,1839,7,0,124,216,0,0
One_and_Half_Story_Finished_All_Ages,4800,Old_Town,OneFam,1157,687,1844,9,84,0,0,0,0
One_and_Half_Story_Finished_All_Ages,8800,Old_Town,OneFam,792,348,1140,7,0,160,0,0,0
One_Story_1945_and_Older,4485,Old_Town,OneFam,936,0,936,5,51,0,135,0,0
One_Story_1945_and_Older,8960,Old_Town,OneFam,1028,0,1028,5,0,0,130,0,0
One_Story_1946_and_Newer_All_Styles,5805,Old_Town,OneFam,1347,0,1347,6,0,0,0,0,0
One_and_Half_Story_Finished_All_Ages,5790,Old_Town,OneFam,840,765,1605,8,0,0,202,0,0
One_Story_1945_and_Older,4608,Old_Town,OneFam,747,0,747,4,0,0,0,0,0
One_Story_1945_and_Older,7200,Old_Town,OneFam,804,0,804,4,0,0,154,0,0
One_and_Half_Story_Finished_All_Ages,5500,Old_Town,OneFam,926,0,1316,6,0,0,0,0,0
One_and_Half_Story_Unfinished_All_Ages,6900,Old_Town,OneFam,827,424,1251,6,0,0,0,0,0
One_and_Half_Story_Finished_All_Ages,11851,Old_Town,OneFam,1027,606,1633,7,0,100,126,0,0
One_and_Half_Story_Finished_All_Ages,8239,Old_Town,OneFam,1060,185,1245,6,0,0,334,0,0
One_Story_1945_and_Older,9656,Old_Town,OneFam,832,0,832,5,0,0,0,0,0
One_Story_1945_and_Older,8520,Old_Town,OneFam,720,0,720,5,106,0,0,0,0
Two_Story_1945_and_Older,9600,Old_Town,OneFam,930,636,1566,7,54,228,246,0,0
One_and_Half_Story_Finished_All_Ages,10800,Old_Town,OneFam,966,686,1652,7,0,0,196,0,0
Two_Story_1945_and_Older,9000,Old_Town,OneFam,1157,1111,2268,7,0,108,0,0,0
Two_Family_conversion_All_Styles_and_Ages,9045,Old_Town,TwoFmCon,1128,1128,2256,12,0,18,18,0,0
One_Story_1946_and_Newer_All_Styles,7407,Old_Town,OneFam,1236,0,1236,6,0,158,158,0,0
Two_Story_1945_and_Older,7740,Old_Town,OneFam,741,622,1363,6,0,0,0,0,168
Two_Family_conversion_All_Styles_and_Ages,11340,Old_Town,TwoFmCon,1246,1044,2290,11,0,0,114,0,0
Two_Story_1945_and_Older,10560,Old_Town,OneFam,868,602,1470,6,0,0,0,0,0
One_and_Half_Story_Finished_All_Ages,5830,Brookside,OneFam,1030,582,1612,7,0,0,0,0,0
Two_and_Half_Story_All_Ages,7793,Brookside,OneFam,1160,908,2068,8,0,0,60,0,0
One_Story_1945_and_Older,5000,Brookside,OneFam,765,0,765,4,135,0,41,0,0
One_and_Half_Story_Finished_All_Ages,6000,Brookside,OneFam,608,524,1132,5,0,0,128,0,0
One_and_Half_Story_Finished_All_Ages,6000,Brookside,OneFam,848,348,1196,6,0,0,0,0,0
One_and_Half_Story_Finished_All_Ages,6360,Brookside,OneFam,955,498,1453,7,0,0,35,0,148
One_and_Half_Story_Finished_All_Ages,6000,Brookside,OneFam,780,636,1416,6,221,0,48,0,0
One_and_Half_Story_Finished_All_Ages,6240,Brookside,OneFam,548,492,1040,5,306,0,32,0,0
One_and_Half_Story_Finished_All_Ages,6240,Brookside,OneFam,928,608,1536,7,0,10,0,0,0
One_Story_1945_and_Older,6120,Old_Town,OneFam,1068,0,1068,5,0,0,128,0,0
Two_Story_1945_and_Older,10300,Old_Town,OneFam,902,808,1710,9,12,11,64,0,0
One_and_Half_Story_Finished_All_Ages,8094,Old_Town,OneFam,888,1074,1962,9,160,0,364,0,0
Two_Story_1945_and_Older,12900,Old_Town,OneFam,780,780,1560,7,344,0,0,0,168
Two_Story_1945_and_Older,3068,Old_Town,OneFam,662,662,1324,6,0,0,112,0,0
Duplex_All_Styles_and_Ages,8472,Iowa_DOT_and_Rail_Road,Duplex,816,0,816,5,106,0,0,0,0
Two_Family_conversion_All_Styles_and_Ages,5600,Iowa_DOT_and_Rail_Road,TwoFmCon,372,720,1092,7,0,0,0,0,0
Two_Family_conversion_All_Styles_and_Ages,7630,Old_Town,TwoFmCon,1032,780,1812,8,344,0,40,0,0
Two_Story_1945_and_Older,24090,Clear_Creek,OneFam,1207,1196,2403,10,56,0,318,0,0
One_Story_1946_and_Newer_All_Styles,15263,Clear_Creek,OneFam,1675,0,1675,8,0,132,0,0,0
One_and_Half_Story_Finished_All_Ages,10632,Clear_Creek,OneFam,725,499,1224,6,0,0,248,0,0
Two_Family_conversion_All_Styles_and_Ages,9900,South_and_West_of_Iowa_State_University,TwoFmCon,1212,180,1392,6,0,0,168,0,0
One_and_Half_Story_Finished_All_Ages,6001,South_and_West_of_Iowa_State_University,OneFam,600,319,919,5,0,0,45,0,0
Two_Story_1945_and_Older,6449,South_and_West_of_Iowa_State_University,OneFam,942,942,1884,7,0,0,239,0,0
Two_Family_conversion_All_Styles_and_Ages,6048,South_and_West_of_Iowa_State_University,TwoFmCon,936,744,1680,7,56,144,0,0,0
One_and_Half_Story_Finished_All_Ages,6342,Sawyer,OneFam,780,240,1020,6,0,0,176,0,0
Duplex_All_Styles_and_Ages,10773,Sawyer,Duplex,1832,0,1832,8,0,58,0,0,0
Duplex_All_Styles_and_Ages,10778,Sawyer,Duplex,1768,0,1768,8,0,0,0,0,0
Two_Family_conversion_All_Styles_and_Ages,11625,Sawyer,TwoFmCon,1039,0,1039,6,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,11341,Sawyer,OneFam,1392,0,1392,5,0,0,0,0,95
One_Story_1946_and_Newer_All_Styles,8521,Sawyer,OneFam,912,0,912,5,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,8246,Sawyer,OneFam,1060,0,1060,6,406,90,0,0,0
One_Story_1946_and_Newer_All_Styles,7800,Sawyer,OneFam,892,0,892,5,0,0,0,0,0
Two_Story_1946_and_Newer,9364,Sawyer,OneFam,663,689,1352,7,379,36,0,0,0
One_Story_1946_and_Newer_All_Styles,7832,Sawyer,OneFam,864,0,864,4,226,0,0,0,0
Duplex_All_Styles_and_Ages,7424,Sawyer,Duplex,1373,0,1373,5,0,0,0,0,0
Two_Story_1946_and_Newer,11227,Sawyer,OneFam,720,720,1440,7,192,38,0,0,0
Two_Story_1946_and_Newer,11616,Sawyer,OneFam,672,714,1386,6,335,0,0,0,0
Two_Story_1946_and_Newer,14000,Clear_Creek,OneFam,1306,954,2260,7,296,44,0,0,0
One_Story_1946_and_Newer_All_Styles,20062,Clear_Creek,OneFam,1483,0,1483,4,496,0,0,0,0
One_Story_1945_and_Older,9259,Sawyer,OneFam,756,0,756,4,80,0,0,0,0
One_Story_1946_and_Newer_All_Styles,9600,Sawyer,OneFam,1067,0,1067,4,290,0,0,0,0
One_Story_with_Finished_Attic_All_Ages,23595,Clear_Creek,OneFam,1332,192,1524,4,268,0,0,0,0
Two_Story_1946_and_Newer,17082,Clear_Creek,OneFam,1117,864,1981,8,336,104,0,0,0
One_and_Half_Story_Finished_All_Ages,18600,Edwards,OneFam,1052,558,1610,8,0,0,60,0,0
One_Story_1945_and_Older,10625,Edwards,OneFam,835,0,835,5,0,0,77,0,0
One_Story_1946_and_Newer_All_Styles,11479,Edwards,OneFam,1074,0,1074,6,0,52,52,0,0
One_Story_1946_and_Newer_All_Styles,9571,Edwards,OneFam,1144,0,1144,6,44,0,0,0,0
One_and_Half_Story_Finished_All_Ages,9350,Edwards,OneFam,1169,0,1531,8,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,9525,Edwards,OneFam,1172,0,1172,5,240,0,0,0,0
One_Story_1946_and_Newer_All_Styles,10420,Edwards,OneFam,1212,0,1212,6,100,22,0,0,0
One_Story_1946_and_Newer_All_Styles,17485,Edwards,OneFam,1508,0,1508,5,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,11200,Edwards,OneFam,1298,0,1298,5,0,144,0,0,0
One_Story_1946_and_Newer_All_Styles,11100,Edwards,OneFam,930,0,930,6,0,0,0,0,0
Two_Story_1946_and_Newer,9206,Sawyer_West,OneFam,977,755,1732,7,192,46,0,0,0
One_Story_1946_and_Newer_All_Styles,11980,Sawyer_West,OneFam,1433,0,1433,4,0,278,0,0,266
Two_Story_1946_and_Newer,12361,Sawyer_West,OneFam,964,838,1802,8,450,92,0,0,0
Two_Story_1946_and_Newer,9938,Sawyer_West,OneFam,1062,887,1949,8,156,90,0,0,0
Split_Foyer,9069,Sawyer_West,OneFam,996,0,996,5,120,0,0,0,0
One_Story_1946_and_Newer_All_Styles,10475,College_Creek,OneFam,1694,0,1694,7,160,33,0,0,0
One_Story_1946_and_Newer_All_Styles,6762,College_Creek,OneFam,1208,0,1208,6,105,61,0,0,0
One_Story_1946_and_Newer_All_Styles,10402,College_Creek,OneFam,1226,0,1226,6,0,36,0,0,0
One_Story_1946_and_Newer_All_Styles,7360,College_Creek,OneFam,1222,0,1222,6,0,54,0,0,0
Two_Story_1946_and_Newer,12376,Sawyer_West,OneFam,1699,1523,3222,11,367,0,0,0,0
One_and_Half_Story_Finished_All_Ages,14235,Sawyer_West,OneFam,831,614,1445,6,0,59,0,0,0
Split_or_Multilevel,8816,Clear_Creek,OneFam,1052,0,1052,6,0,0,0,0,0
Split_Foyer,11105,College_Creek,OneFam,965,0,965,4,71,0,0,0,0
Two_Story_1946_and_Newer,9337,College_Creek,OneFam,892,800,1692,8,0,39,0,0,0
Two_Story_1946_and_Newer,8750,College_Creek,OneFam,804,878,1682,7,0,77,0,0,0
One_Story_1946_and_Newer_All_Styles,15240,College_Creek,OneFam,1026,0,1026,5,316,85,0,0,0
Two_Story_1946_and_Newer,10900,College_Creek,OneFam,689,703,1392,6,0,36,0,0,0
One_Story_1946_and_Newer_All_Styles,10650,College_Creek,OneFam,894,0,894,5,365,0,0,0,0
One_Story_1946_and_Newer_All_Styles,7480,College_Creek,OneFam,876,0,876,5,0,0,0,0,0
